O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity,bucket_weight,percentile
11-1011,2006,0.0013881786579474,0.9999999999999989,LC-P-M,0.0,0.0,0.0
11-1011,2007,0.0013511603584247,0.9999999999999989,LC-P-M,0.0,0.0,0.0
11-1011,2008,0.0014068363089495,0.9999999999999983,LC-P-M,0.0,0.0,0.0
11-1011,2009,0.0014901796089976,0.9999999999999983,LC-P-M,0.0,0.0,0.0
11-1011,2010,0.0014973276353725,0.9999999999999983,LC-P-M,0.0,0.0,0.0
11-1011,2011,0.0014657416634814,0.9999999999999982,LC-P-M,0.0,0.0,0.0
11-1011,2012,0.001362417903407,0.9999999999999982,LC-P-M,0.0,0.0,0.0
11-1011,2013,0.0013304638364341,0.9999999999999982,LC-P-M,0.0,0.0,0.0
11-1011,2014,0.0012857508647975,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2015,0.0012194853578559,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2016,0.0011138839316238,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2017,0.0009466271674024,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2018,0.0008176650783342,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2019,0.0008096622893798,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2020,0.00096121320348,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2021,0.0006978640238045,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2022,0.0007347625762825,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-1011,2023,0.0008070178011352,0.9999999999999983,LC-P-M,0.0,0.0,0.0
11-1011,2024,0.0007869521677507,0.9999999999999983,LC-P-M,0.0,0.0,0.0
11-1021,2006,0.0065528489300041,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2007,0.0062564189539336,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2008,0.0061998452174884,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2009,0.0063079100022184,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2010,0.0065249399395096,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2011,0.0067353319337885,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2012,0.0066051471388651,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2013,0.0066718029622017,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2014,0.0065565069685495,0.9999999999999993,LC-P-M,0.0,0.0,0.0
11-1021,2015,0.0064699280385546,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2016,0.0061608116424354,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2017,0.0058317215760238,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2018,0.0057690271785816,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2019,0.0059158047037059,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2020,0.0059550968391564,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2021,0.0068003079494147,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2022,0.007635265376021401,0.9999999999999992,LC-P-M,0.0,0.0,0.0
11-1021,2023,0.0076632320673395,0.9999999999999991,LC-P-M,0.0,0.0,0.0
11-1021,2024,0.007610684452625799,0.9999999999999991,LC-P-M,0.0,0.0,0.0
11-2011,2006,3.680287604791347e-05,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-2011,2007,2.198540797065262e-05,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-2011,2008,1.2817163769173869e-05,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-2011,2009,1.014133440871248e-05,0.9999999999999986,LC-P-M,0.0,0.0,0.0
11-2011,2010,8.521376786674029e-06,0.999999999999999,LC-P-M,0.0,0.0,0.0
11-2011,2011,4.799808967603089e-06,0.999999999999999,LC-P-M,0.0,0.0,0.0
