O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity,bucket_weight,percentile
11-1011,2006,0.0013881786579474,0.9999999999999989,LC-I-M,0.0,0.0,0.0
11-1011,2007,0.0013511603584247,0.9999999999999989,LC-I-M,0.0,0.0,0.0
11-1011,2008,0.0014068363089495,0.9999999999999983,LC-I-M,0.0,0.0,0.0
11-1011,2009,0.0014901796089976,0.9999999999999983,LC-I-M,0.0,0.0,0.0
11-1011,2010,0.0014973276353725,0.9999999999999983,LC-I-M,0.0,0.0,0.0
11-1011,2011,0.0014657416634814,0.9999999999999982,LC-I-M,0.0,0.0,0.0
11-1011,2012,0.001362417903407,0.9999999999999982,LC-I-M,0.0,0.0,0.0
11-1011,2013,0.0013304638364341,0.9999999999999982,LC-I-M,0.0,0.0,0.0
11-1011,2014,0.0012857508647975,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2015,0.0012194853578559,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2016,0.0011138839316238,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2017,0.0009466271674024,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2018,0.0008176650783342,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2019,0.0008096622893798,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2020,0.00096121320348,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2021,0.0006978640238045,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2022,0.0007347625762825,0.9999999999999986,LC-I-M,0.0,0.0,0.0
11-1011,2023,0.0008070178011352,0.9999999999999983,LC-I-M,0.0,0.0,0.0
11-1011,2024,0.0007869521677507,0.9999999999999983,LC-I-M,0.0,0.0,0.0
11-1021,2006,0.0065528489300041,0.9999999999999993,LC-I-M,0.1380943164872759,0.0009049111940332941,0.20536970217235712
11-1021,2007,0.0062564189539336,0.9999999999999993,LC-I-M,0.1380943164872759,0.0008639758991014988,0.20536970217235712
11-1021,2008,0.0061998452174884,0.9999999999999993,LC-I-M,0.1318940111451517,0.0008177224542136311,0.18894039904463703
11-1021,2009,0.0063079100022184,0.9999999999999993,LC-I-M,0.1318940111451517,0.0008319755521352081,0.18894039904463703
11-1021,2010,0.0065249399395096,0.9999999999999993,LC-I-M,0.1318940111451517,0.0008606005011031251,0.18894039904463703
11-1021,2011,0.0067353319337885,0.9999999999999993,LC-I-M,0.1318940111451517,0.0008883499451413972,0.18894039904463703
11-1021,2012,0.0066051471388651,0.9999999999999993,LC-I-M,0.1318940111451517,0.000871179350348841,0.18894039904463703
11-1021,2013,0.0066718029622017,0.9999999999999993,LC-I-M,0.1318940111451517,0.0008799708542548877,0.18894039904463703
11-1021,2014,0.0065565069685495,0.9999999999999993,LC-I-M,0.1318940111451517,0.0008647640031831331,0.18894039904463703
11-1021,2015,0.0064699280385546,0.9999999999999992,LC-I-M,0.0722322850718533,0.0004673376864752529,0.0691134422547064
11-1021,2016,0.0061608116424354,0.9999999999999992,LC-I-M,0.0722322850718533,0.0004450095028303869,0.0691134422547064
11-1021,2017,0.0058317215760238,0.9999999999999992,LC-I-M,0.0722322850718533,0.000421238575339029,0.0691134422547064
11-1021,2018,0.0057690271785816,0.9999999999999992,LC-I-M,0.0722322850718533,0.000416710015750576,0.0691134422547064
11-1021,2019,0.0059158047037059,0.9999999999999992,LC-I-M,0.0722322850718533,0.0004273120917874955,0.0691134422547064
11-1021,2020,0.0059550968391564,0.9999999999999992,LC-I-M,0.0722322850718533,0.0004301502525164379,0.0691134422547064
11-1021,2021,0.0068003079494147,0.9999999999999992,LC-I-M,0.0722322850718533,0.0004912017823785131,0.0691134422547064
11-1021,2022,0.007635265376021401,0.9999999999999992,LC-I-M,0.0722322850718533,0.0005515126652400294,0.0691134422547064
11-1021,2023,0.0076632320673395,0.9999999999999991,LC-I-M,0.0623856122614256,0.0004780754244223654,0.06379848743848561
11-1021,2024,0.007610684452625799,0.9999999999999991,LC-I-M,0.0623856122614256,0.0004747972093055737,0.06379848743848561
11-2011,2006,3.680287604791347e-05,0.9999999999999986,LC-I-M,0.0,0.0,0.0
